PACKET_NUMBER,NUMBER_OF_NODES,NUMBER_OF_NODE_VECTORS,NUMBER_OF_FILTERS,PACKET_THRESHOLD,K,DIM
100,200,10,10,5,5,10
100,200,10,10,5,10,10
100,200,10,10,5,15,10
100,200,10,10,5,20,10
100,200,10,10,5,25,10
100,200,10,10,5,30,10
100,200,10,10,5,35,10
