PACKET_NUMBER,NUMBER_OF_NODES,NUMBER_OF_NODE_VECTORS,NUMBER_OF_FILTERS,PACKET_THRESHOLD,K,DIM
100,100,10,10,5,1,5
100,200,10,10,5,1,5
100,300,10,10,5,1,5
100,400,10,10,5,1,5
100,500,10,10,5,1,5
