PACKET_NUMBER,NUMBER_OF_NODES,NUMBER_OF_NODE_VECTORS,NUMBER_OF_FILTERS,PACKET_THRESHOLD,K,DIM
100,200,10,10,5,20,5
100,200,10,10,5,20,10
100,200,10,10,5,20,20
100,200,10,10,5,20,20
100,200,10,30,5,20,20
100,200,10,50,5,20,20
100,200,10,10,5,40,20
100,200,10,10,5,40,20
100,200,10,10,5,40,20
100,200,10,10,5,40,20
100,200,10,30,5,40,20
100,200,10,50,5,40,20
