PACKET_NUMBER,NUMBER_OF_NODES,NUMBER_OF_NODE_VECTORS,NUMBER_OF_FILTERS,PACKET_THRESHOLD,K,DIM
100,100,10,10,5,5,20
100,100,10,20,5,5,20
100,100,10,30,5,5,20
100,200,10,10,5,5,20
100,200,10,20,5,5,20
100,200,10,30,5,5,20
